各列含意：
1.Samples（样本数）：表示采样器在程序执行期间捕获到该函数的样本数。
2.Percentage（百分比）：显示该函数占所有样本的百分比。它表示该函数在程序执行期间消耗的时间和资源的相对比例。
3.Cumulative Percentage（累积百分比）：表示当前函数及其上层调用函数的总体百分比。它表示当前函数及其上层调用函数在程序执行期间消耗的时间或资源的累积比例。
4.Self（自身开销）：表示当前函数自身消耗的时间或资源。它通常是除去当前函数调用的子函数开销后，当前函数剩余的开销。
5.Cumulative Self（累积自身开销）：表示当前函数及其上层调用函数的总体自身开销。它表示当前函数及其上层调用函数在程序执行期间剩余的自身开销的累积值。
6.Function Name（函数名称）：被分析的函数的名称。

Total: 6541 samples
     596   9.1%   9.1%      596   9.1% send
     517   7.9%  17.0%      517   7.9% epoll_wait@@GLIBC_2.3.2
     362   5.5%  22.6%      362   5.5% __close@@GLIBC_2.2.5
     305   4.7%  27.2%      305   4.7% setsockopt@@GLIBC_2.2.5
     300   4.6%  31.8%      300   4.6% epoll_ctl@@GLIBC_2.3.2
     298   4.6%  36.4%      298   4.6% __open64
     274   4.2%  40.5%      274   4.2% accept4@@GLIBC_2.10
     255   3.9%  44.4%      255   3.9% recv
     249   3.8%  48.2%      249   3.8% sendfile64@@GLIBC_2.3
     171   2.6%  50.9%     1272  19.4% ws::HttpParser::Parsering
     156   2.4%  53.2%      156   2.4% __write@@GLIBC_2.2.5
     155   2.4%  55.6%      553   8.5% std::__uniq_ptr_impl::_M_ptr
     124   1.9%  57.5%      408   6.2% std::get
     120   1.8%  59.3%      120   1.8% std::__shared_ptr::get
     116   1.8%  61.1%      281   4.3% std::__shared_ptr_access::operator->
     116   1.8%  62.9%      655  10.0% std::unique_ptr::get
     113   1.7%  64.6%      187   2.9% std::_Tuple_impl::_M_head
     107   1.6%  66.3%      576   8.8% std::unique_ptr::operator->
     106   1.6%  67.9%      106   1.6% std::_Head_base::_M_head
     102   1.6%  69.4%      102   1.6% read@@GLIBC_2.2.5
      92   1.4%  70.8%      283   4.3% std::__get_helper
      77   1.2%  72.0%       77   1.2% __fstat64@@GLIBC_PRIVATE
      67   1.0%  73.0%       67   1.0% ws::UserBuffer::Readable
      62   0.9%  74.0%       62   0.9% __nss_database_lookup@GLIBC_2.2.5
      58   0.9%  74.9%      174   2.7% std::__shared_ptr_access::_M_get
      45   0.7%  75.6%      180   2.8% ws::UserBuffer::Peek
      41   0.6%  76.2%       41   0.6% _IO_vfprintf
      39   0.6%  76.8%       39   0.6% wcsftime@@GLIBC_2.2.5
      36   0.6%  77.3%       36   0.6% std::forward
      36   0.6%  77.9%       36   0.6% tc_new
      34   0.5%  78.4%       34   0.5% ws::UserBuffer::read
      30   0.5%  78.9%       30   0.5% __libc_alloca_cutoff@@GLIBC_PRIVATE
      26   0.4%  79.3%       26   0.4% parse_printf_format@@GLIBC_2.2.5
      23   0.4%  79.6%      179   2.7% std::__shared_count::__shared_count
      22   0.3%  80.0%     4336  66.3% ws::looping
      21   0.3%  80.3%       67   1.0% std::function::function
      21   0.3%  80.6%       21   0.3% tc_deletearray_sized
      20   0.3%  80.9%       20   0.3% std::__detail::_Node_iterator_base::_Node_iterator_base
      18   0.3%  81.2%       18   0.3% std::__detail::_Hash_node::_M_next
      18   0.3%  81.5%       18   0.3% ws::ParsedHeader::ParsedHeaderIsEqual@59500
      17   0.3%  81.7%      128   2.0% std::unique_ptr::operator[]
      17   0.3%  82.0%      815  12.5% ws::WriteLoop::DoFirst
      16   0.2%  82.2%       16   0.2% wcstof128@@GLIBC_2.26
      15   0.2%  82.4%      124   1.9% std::_Hashtable::_M_emplace
      15   0.2%  82.7%      114   1.7% std::_Sp_counted_base::_M_release
      14   0.2%  82.9%       44   0.7% std::_Hashtable::_M_find_before_node
      14   0.2%  83.1%       14   0.2% ws::ParsedHeader::~ParsedHeader
      13   0.2%  83.3%       42   0.6% std::__max_element
      13   0.2%  83.5%       24   0.4% ws::WriteLoop::Send
      12   0.2%  83.7%       12   0.2% ws::UserBuffer::Writeable
      11   0.2%  83.9%       14   0.2% __gnu_cxx::operator!=
      11   0.2%  84.0%       11   0.2% __strtof128_nan@@GLIBC_PRIVATE
      11   0.2%  84.2%       17   0.3% std::__detail::_Hash_node_value_base::_M_valptr
      11   0.2%  84.4%       37   0.6% std::__detail::_Hashtable_alloc::_M_allocate_node
      11   0.2%  84.5%       11   0.2% tzset@@GLIBC_2.2.5
      11   0.2%  84.7%      592   9.1% ws::ContentProvider::Provide
      10   0.2%  84.8%       10   0.2% __gnu_cxx::__normal_iterator::operator*
      10   0.2%  85.0%       10   0.2% std::_Deque_iterator::_Deque_iterator
      10   0.2%  85.2%      162   2.5% std::_Function_handler::_M_manager
      10   0.2%  85.3%     4706  71.9% std::__invoke_impl
      10   0.2%  85.5%       10   0.2% std::move
      10   0.2%  85.6%       10   0.2% std::vector::operator[]
      10   0.2%  85.8%       16   0.2% ws::ParsedHeader::ParsedHeader@53914
       9   0.1%  85.9%        9   0.1% isalnum@@GLIBC_2.2.5
       9   0.1%  86.0%        9   0.1% std::_Any_data::_M_access
       9   0.1%  86.2%        9   0.1% std::__cxx11::basic_string::_M_construct
       9   0.1%  86.3%        9   0.1% std::__cxx11::basic_string::operator[]
       9   0.1%  86.5%        9   0.1% std::__detail::_Prime_rehash_policy::_M_bkt_for_elements
       9   0.1%  86.6%      918  14.0% std::function::operator
       9   0.1%  86.7%        9   0.1% ws::EpollEvent_Result::size &
       9   0.1%  86.9%       74   1.1% ws::LoadBalance::Distribution
       9   0.1%  87.0%       11   0.2% ws::LockFreeQueue::push
       9   0.1%  87.1%       35   0.5% ws::Socket::Read
       8   0.1%  87.3%       10   0.2% std::_Hashtable::_M_insert_bucket_begin
       8   0.1%  87.4%        8   0.1% std::_Sp_counted_base::_M_add_ref_copy
       8   0.1%  87.5%       10   0.2% std::_Tuple_impl::_Tuple_impl
       8   0.1%  87.6%        8   0.1% ws::BaseBuffer::BaseBuffer@538f6
       8   0.1%  87.8%     3004  45.9% ws::Manger::Reading
       8   0.1%  87.9%       18   0.3% ws::Provider::AutoAdapt[abi:cxx11]
       8   0.1%  88.0%      296   4.5% ws::REAProvider::FileProvider
       8   0.1%  88.1%      574   8.8% ws::REAProvider::provide
       8   0.1%  88.2%      271   4.1% ws::Server::Server_Accept
       8   0.1%  88.4%      263   4.0% ws::WriteLoop::SendFile
       7   0.1%  88.5%      152   2.3% std::_Function_base::_Base_manager::_M_manager
       7   0.1%  88.6%      136   2.1% std::_Function_base::~_Function_base
       7   0.1%  88.7%        7   0.1% std::_Hashtable::_M_begin
       7   0.1%  88.8%        7   0.1% std::__detail::_Hashtable_ebo_helper::_M_cget
       7   0.1%  88.9%        7   0.1% std::__is_constant_evaluated
       7   0.1%  89.0%       44   0.7% std::unordered_map::operator[]
       7   0.1%  89.1%       17   0.3% ws::EpollEvent_Result::operator[]@b610
       7   0.1%  89.2%       41   0.6% ws::FileProxy::Statget
       7   0.1%  89.3%     2965  45.3% ws::Member::DoRead
       7   0.1%  89.4%        8   0.1% ws::Member::fd &
       7   0.1%  89.5%        7   0.1% ws::ParsedHeader::ReadPtr
       7   0.1%  89.6%        7   0.1% ws::ParsedHeader::Readable
       7   0.1%  89.8%       25   0.4% ws::UserBuffer::SWrite
       7   0.1%  89.9%       14   0.2% ws::UserBuffer::Write
       7   0.1%  90.0%       88   1.3% ws::WriteLoop::swrite
       7   0.1%  90.1%        7   0.1% ws::isheader
       6   0.1%  90.2%        6   0.1% __gnu_cxx::__normal_iterator::__normal_iterator
       6   0.1%  90.3%        8   0.1% std::_Function_base::_Base_manager::_M_get_pointer
       6   0.1%  90.4%      907  13.9% std::_Function_handler::_M_invoke
       6   0.1%  90.4%       47   0.7% std::_Hashtable::_M_find_node
       6   0.1%  90.5%       22   0.3% std::_Hashtable::end
       6   0.1%  90.6%        8   0.1% std::_Hashtable::rehash
